"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.98414,0,0,0,0.001724,0.0012237,3.3106e-05
0.9763,0,0,0,0.0017786,0.0012853,3.3106e-05
0.9763,0,0,0,0.0017786,0.0012853,-3.3106e-05
0.95779,0,0,0,0.0017796,0.00070759,-3.3106e-05
0.95779,0,0,0,0.0017796,0.00070759,3.3106e-05
0.99613,0,0,0,0.0017674,0.00085696,3.3106e-05
0.99613,0,0,0,0.0017674,0.00085696,-3.3106e-05
0.99392,0,0,0,0.0017689,0.00085934,3.3106e-05
0.99392,0,0,0,0.0017689,0.00085934,-3.3106e-05
0.98816,0,0,0,0.0017213,0.0012229,-3.3106e-05
0.98816,0,0,0,0.0017213,0.0012229,3.3106e-05
0.96975,0,0,0,0.0017795,0.0012909,3.3106e-05
0.96975,0,0,0,0.0017795,0.0012909,-3.3106e-05
0.97344,0,0,0,0.0017791,0.0012881,-3.3106e-05
0.97344,0,0,0,0.0017791,0.0012881,3.3106e-05
0.97744,0,0,0,0.0017784,0.0013159,-3.3106e-05
0.97744,0,0,0,0.0017784,0.0013159,3.3106e-05
0.99954,0,0,0,0.0017682,0.0013417,3.3106e-05
0.99954,0,0,0,0.0017682,0.0013417,-3.3106e-05
0.99741,0,0,0,0.0017696,0.0013393,-3.3106e-05
0.99741,0,0,0,0.0017696,0.0013393,3.3106e-05
0.9886,0,0,0,0.0017213,0.0008229,3.3106e-05
0.98809,0,0,0,0.001724,0.0008237,3.3106e-05
0.98809,0,0,0,0.001724,0.0008237,-3.3106e-05
0.9886,0,0,0,0.0017213,0.0008229,-3.3106e-05
0.9907,0,0,0,0.0017739,0.00086932,3.3106e-05
0.98723,0,0,0,0.0017749,0.00087192,3.3106e-05
0.98723,0,0,0,0.0017749,0.00087192,-3.3106e-05
0.9907,0,0,0,0.0017739,0.00086932,-3.3106e-05
0.97084,0,0,0,0.0017786,0.00088535,3.3106e-05
0.97084,0,0,0,0.0017786,0.00088535,-3.3106e-05
0.9752,0,0,0,0.0017781,0.00088261,-3.3106e-05
0.9752,0,0,0,0.0017781,0.00088261,3.3106e-05
0.96635,0,0,0,0.0017791,0.0008881,3.3106e-05
0.96635,0,0,0,0.0017791,0.0008881,-3.3106e-05
0.95751,0,0,0,0.0017796,0.00090759,3.3106e-05
